id,title,abstract
2847,"DNA Concentrations of Isolations from Topsoil and Subsoil Samples, Alb and Schorfheide Grassland VIPs 2008",Messung der DNA-Konzentration nach Extraktion aus Bodenproben
2880,Nanofauna species list,biodiversity of heterotrophic flagellates corresponding to biotic and abiotic factors
2905,Snail exclusion in epiphytic cryptogam communities,Exclusion of gastropods from one tree and one control tree with gastropods present per VIP in the Alb exploratory.
2920,CFU of pink-pigmented facultative methylotrophs per gramm leaf fresh weight,"List of CFU of PPFM per g leaf weight for selected plots of the exploratories Schwäbische Alb, Hainich-Dün and Schorfheide-Chorin for the years 2008 and 2009"
2925,Effect of birds and bats on abundance and diversity of arboriculate arthropods (2008 - 2009),Einfluss von Vögeln und Fledermäusen auf Abundanz und Diversität arborikoler Arthropoden
3020,"Plants, herbivores and their natural enemies along a grassland management gradient 2008","It has frequently been shown that grassland management practices such as mowing or grazing alter vegetation structure, microclimate and nutrient content of both plants and soils. If plant species richness is hypothesized to decline under intensive management, then this may have profound  consequences also for primary consumers and higher trophic levels."
3141,GRLD-Nutzungsschema utilisation scheme HAI 2008,Trend: Zur Abschätzung der regulären Bearbeitung der landwirtschaftlichen Flächen durch den Bewirtschafter im Jahr 2008 sind aus den Landnutzungsdaten (Interview Sommer 2007) potenzielle Zeiträume der Bewirtschaftung abgeleitet. Aktuell: Angaben zur aktuellen Nutzung werden nach Angaben der Bewirtschafter zeitnah aktualisiert.
3220,"Soil Water Content of VIP Plots, 2008",to make conclusion about water content of the soil during soil sampling
3360,Forest inventory - disturbances,Mapping of disturbances on the forest inventory areas.
3540,forest inventory - JW - deadwood,Waldinventur im Rahmen der Dissertation Jana Wäldchen im Hainich-Dün
3541,forest inventory - JW - header,Waldinventur im Rahmen der Dissertation Jana Wäldchen im Hainich-Dün
3542,forest inventory - JW - regeneration header,Waldinventur im Rahmen der Dissertation Jana Wäldchen im Hainich-Dün
3543,forest inventory - JW - regeneration small,Waldinventur im Rahmen der Dissertation Jana Wäldchen im Hainich-Dün
3544,forest inventory - JW - regeneration tall,Waldinventur im Rahmen der Dissertation Jana Wäldchen im Hainich-Dün
3545,forest inventory - JW - regeneration tree species,Waldinventur im Rahmen der Dissertation Jana Wäldchen im Hainich-Dün
3546,Stand data of forest inventory,Data of forest inventory in the Hainich-Dün region in 2008.
3547,forest inventory - JW - stumps,Waldinventur im Rahmen der Dissertation Jana Wäldchen im Hainich-Dün
3701,Forest inventory - Westerwald - Coordinates,Koordinaten der Betriebsstichprobe Westerwald im Eichsfeld (Thüringen)
3702,Forest inventory - Westerwald - Header data,Betriebsstichprobe Westerwald im Eichsfeld (Thüringen)
3705,Forest inventory - Westerwald - Tree stumps,Betriebsstichprobe Westerwald im Eichsfeld (Thüringen)   - Stubben
3706,Forest inventory - Westerwald - Tree species of rejuvenation,Data of forest inventory in Westerwald in Eichsfeld (Thuringia) - tree species of regeneration.
3707,Forest inventory - Westerwald - Regeneration pk4,Betriebsstichprobe Westerwald im Eichsfeld (Thüringen)
3708,Forest inventory - Westerwald - Regeneration quadrat,Betriebsstichprobe Westerwald im Eichsfeld (Thüringen) -Verjüngung in den Probequadraten
3709,Forest inventory - Westerwald - canopy cover,Betriebsstichprobe Westerwald im Eichsfeld (Thüringen) - Überschirmung der Verjüngung
3901,"Small Mammal Trapping (2008, all EPs excluding plots with cattle)","Trapping of small mammals with live traps in all three Exploratories and all EPs, but not in grassland plots with cattle."
3921,GenLink - Genetic diversity of Veronica chamaedrys,Genetic diversity of Veronica chamaedrys on EPs detected with AFLP
3923,Small Mammal Radiotracking - Locations (July 2008),After a live trapping programm several individuals of the Bank Vole are chosen for Radiotracking. Animals are equipped with BIOTRACK radiotags (10g). These free ranging animals are detected by an observer with a Yagi Antenna connected to a Telonics receiver. Location data are gained by a fixed grid (live traps) and collected as easting and northing in meters. Locations outside the trapping grid are collected by taking a GPS point.
4000,Forest inventory - Westerwald - Coarse woody debris (CWD),Forest inventory of Westerwald in the Eichsfeld (Thuringia; Germany) - coarse woody debris in sample area I.
4001,Forest inventory - Westerwald - Coarse woody debris (CWD),Forest inventory of Westerwald in the Eichsfeld (Thuringia) - coarse woody debris in sample area IV.
4002,Forest inventory - Westerwald - stand inventory,Betriebsstichprobe Westerwald im Eichsfeld (Thüringen)
4140,Bryophyte diversity in relationship to land use types in grasslands (2007-2008),Assessing of bryophyte species diversity in relationship to land use types in grasslands
4141,Bryophyte diversity in relationship to forest-management types in forests (2007-2008),Bryophytes confirm a species rich plant group in ecosystems such as forests. We assessed bryophyte species diversity in relationship to forest-management types on 1050 forest plots.
4146,"Thistles and aggregated observed invertebrates, fungi and damage types (2008, grassland EPs)",Thistles belong to a prominent plant group in agricultural used grasslands. Many invertebrates feed on thistles or depend on thistle herbivores.
4160,Tree age determination with trunk disks,Baumalterbestimmung mit Stammscheiben zum Vergleich verschiedener waldbaulicher Systeme
4181,"Vegetation Cover of Understory Plants, Structure 2008","These data show the variation of vascular understory plant species within forest EPs based on their cover values in seven subplots per EP. The idea behind sampling randomly spread subplots is that plant diversity of the understory is strongly affected by the canopy properties and gaps vertically above the subplots. Hence by sampling seven subplots we intend to find most of the plant species being present within a 1 ha EP because we account for a whole gradient in typical light conditions for each EP. Consequently, we can assess the response of vegetation to the fine-scale conditions in available light or micro-topography but additionally we also increase the likelihood of sampling all understory species occurring in an EP."
4220,Beech exclusion - Forest inventory - header data,Waldinventur
4221,Beech exclusion - Forest inventory - data,Waldinventur
4222,Beech exclusion - Soil inventory,Bodeninventur
4223,Beech exclusion - CN analysis soil cover,CN-Analyse der Auflage
4224,Beech exclusion - CN analysis soil,CN-Analyse des Bodens
4225,Beech exclusion - CN analysis litter trees,CN Analyse Streu Baumarten
4226,Beech exclusion - Extraction Fe / Al,Bestimmung der Eisen- und Aluminiumoxide des Bodens
4260,Bryophyte diversity in relationship to forest-management types in forests -  indices and traits (2007-2008),Traits for each plot
4300,Pollen analysis (2007),"Christiane Weiner has collected data on pollen quality of different flower species in 2007 as a pilot study for further analysis on pollen quality, e.g. in dependence of fertilisation and land use types. Pollen is the primary source of protein in the larval diet of bees and also very important in the diet of some other flower visiting insects. While some insects are restricted to visiting only one or few plant species, others collect or feed on pollen and nectar from a broad spectrum of plants. We are interested in the following questions: Do oligolectic and oligophagous insects choose certain plants because these plants contain more essential amino acids or provide pollen with a higher homogeneity of those components?Do polylectic and polyphagous insects combine different plant species in a way they are able to gain a complemented and balanced diet?Do different land use types offer a significantly different resource quality?In future the resource quality of a plot shall be assessable by its actual flower composition and the amino acid quality connected to it. For most flowering plant species we will be able to determine the pollen amino acid composition per flower/flowering unit (e.g. in Asteraceae). By counting all flowering units per plant species on a plot, we can extrapolate its resource quality (=qualitative and quantitative amino acid composition)."
4302,Butterflies 2008,"Specialisation, abundance and diversity of flower visitors is compared across grasslands along a gradient of land use intensity. We focus on resource-based mechanisms that may determine flower visiting insect communities in different habitats. We will analyze flower visitor rates of pollinators in order to measure possible variation between differently used sites. Moreover, we will characterize the degree of specialisation on species and community level (pollinator networks; Blüthgen et al. 2007)"
4341,"Cell numbers of acidobacteria and procaryotes in soil by fluorescent staining and counting (all VIPs, 2008)",cell numbers by fluorescent staining and counting
4360,Small Mammal Radiotracking - Locations (September 2008),After a live trapping programm several individuals of the Bank Vole are chosen for Radiotracking. Animals are equipped with BIOTRACK radiotags (10g). These free ranging animals are detected by an observer with a Yagi Antenna connected to a Telonics receiver. Location data are gained by a fixed grid (live traps) and collected as easting and northing in meters. Locations outside the trapping grid are collected by taking a GPS point.
4361,Small mammal trapping (radiotracking)in 2008,"Trapping of small mammals with live traps in 6 plots in the Hainich, but not on the experimental plots, and radio tracking the Bank vole (Clethrionomys glareolus)."
4420,Model of tree height and  crown base according to Schumacher 1939,Modelle zur Schätzung der Baumhöhe und des Kronenansatz aus dem BHD
4442,Tree climbing bryophytes & lichens at tree base and crown with traits (2008-2009),"bryophyte and lichen taxa abundance on trunk and crown on one tree per forest VIP;
more info in paper3 in reference section of this metadata"
4444,"Vegetation Records for Grassland GPs in 2007, Header Data and Species Identities","'Sammelarten"" sind durch agg= Aggregate oder total gekennzeichnet. Sie umfassen jene Taxa, die teilweise bis zur Kleinart, Subspecies oder Varietas bestimmt wurden, teilweise aber auch nur auf Gattungs- (... spec. (indet.)) oder Artebene. Taxonomie nach Wisskirchen,Haeupler (1998)Standardliste für Deutschland. Lebensformen nach Raunkiaer, C. (1910): Statistik der Lebensformen als Grundlage für die biologische Pflanzengeographie.-Beih. Biol. Cbl. 27 II, 170 - 206d. Rote Liste: KORNECK, D., SCHNITTLER, M., VOLLMER, I. (1996): Rote Liste der Farn- und Blütenpflanzen (Pteridophyta et Spermatophyta) Deutschlands. – LUDWIG, G., SCHNITTLER, M. [Hrsg.]: Rote Listen gefährdeter Pflanzen Deutschlands. – Schriftenr. Vegetationskd. 28: 21–187, Bundesamt für Naturschutz, Bonn.'"
4446,Lichens and snails - feeding experiment  (2008-2009),Feeding experiment with different lichen species and two snail species in the laboratory
4460,Lichen diversity in forests (2007-2008),"Lichen on 400 m² GPs in forests, lichen diversity differs among management types, including the presence and absence of all taxa (saxicolous, lignicolous, corticolous recorded per woody species, terricolous, bryicolous)"
4520,"Vegetation complexity around Plantago lanceolata and host plant structure: plant level, 2008, 1st round","In grasslands, intensive mowing, heavy grazing, and fertilization represent major negative impacts for plant species richness. However, little is known about how intensification in land use influences the performance of species at higher trophic levels, apart from simply reducing species numbers. Here we investigate the impact of land use on all levels of a tritrophic system, and on the surrounding vegetation. The targeted plant, Plantago lanceolata L. (Plantaginaceae), was chosen because it is widespread throughout Germany, and occurs under different land use intensities."
4521,"Vegetation structure around Plantago lanceolata and host plant structure: plant level, 2008, 2nd round","In grasslands, intensive mowing, heavy grazing, and fertilization represent major negative impacts for plant species richness. However, little is known about how intensification in land use influences the performance of species at higher trophic levels, apart from simply reducing species numbers. Here we investigate the impact of land use on all levels of a tritrophic system, and on the surrounding vegetation. The targeted plant, Plantago lanceolata L. (Plantaginaceae), was chosen because it is widespread throughout Germany, and occurs under different land use intensities."
4620,Dendrometer - Tree data in Footprint NP Hainich,Projekt Dendrometer
4621,Dendrometer - Base stations,Übersicht der Basisstationen
4622,Dendrometer - Calibration of the DC2 potentiometers,Technische Daten der DC2-PotentiometerErgebnisse der Kalibrierung
4623,Dendrometer - Overview of trees equipped with dendrometers,Übersicht der mit Dendrometer ausgerüsteten Bäume
4641,Dendrometer - Status,Status der Dendrometer
4661,Dendrometer - Raw data,Rohdaten der Dendrometermessung
4760,Soil Survey 2008 Plot Description,A coordinated soil sampling campaign was carried out at 27 grassland and 30 forest plots (all VIP plots) in all 3 biodiversity exploratories. The soil description of each soil core is given here.
4761,Soil Survey 2008 Subplot Description,A coordinated soil sampling campaign was carried out at 27 grassland and 30 forest plots (all VIP plots) in all 3 biodiversity exploratories. The soil description of each soil core is given here.
4762,Soil Survey 2008 Measurements,A coordinated soil sampling campaign was carried out at 27 grassland and 30 forest plots (all VIP plots) in all 3 biodiversity exploratories. The soil description of each soil core is given here.
4781,Lookup table fo tree species names and abbreviations used in the project,Lookup table tree species names
4823,"Basic inventory data of selected dead wood items and additional environmental data at forest VIPs, 2009",Auswirkungen der Intensität von Waldmanagement auf die Diversität von holzzersetzenden Pilzen und den Totholzabbau
4840,GRLD-Nutzungsschema utilisation scheme HAI 2009,Trend: Zur Abschätzung der regulären Bearbeitung der landwirtschaftlichen Flächen durch den Bewirtschafter im Jahr 2008 sind aus den Landnutzungsdaten (Interview Sommer 2007) potenzielle Zeiträume der Bewirtschaftung abgeleitet. Aktuell: Angaben zur aktuellen Nutzung werden nach Angaben der Bewirtschafter zeitnah aktualisiert.
4862,Dendrometer - Configuration for estimating the radial change,Konfiguration und Aufbau des Potentiometers für den Zeitraum (Unix-timestamp) der Messung (ca. 1.2 Jahre)
4882,flower availability 2007 Schwäbische Alb,Flower availability is estimated by determining the number of 'flower units' across two grassland types on the Schwäbische Alb as a basis for analyzing flower-visitor interactions networks. We focus on resource-based mechanisms that may determine flower visiting insect communities in different habitats.
4883,"Flower visitor interactions in 2007, Schwäbische Alb","Specialisation of flower visitors is compared across grasslands along a gradient of land use intensity. We focus on resource-based mechanisms that may determine flower visiting insect communities in different habitats. We analyze flower diversity and abundance as well as pollinator diversity and abundance and flower visiting rates of pollinators in order to measure possible variation between differently used sites. Moreover, we will characterize the degree of specialisation on species and community level (pollinator networks; Blüthgen et al. 2007)."
4963,Flower availability 2008 Hainich,Flower availability is estimated by determining the number of 'flower units' across the grassland types of the Exploratories as a basis for analyzing flower-visitor interactions networks. We focus on resource-based mechanisms that may determine flower visiting insect communities in different habitats.
4964,Flower availability 2008 Schorfheide,Flower availability is estimated by determining the number of 'flower units' across the grassland types of the Exploratories as a basis for analyzing flower-visitor interactions networks. We focus on resource-based mechanisms that may determine flower visiting insect communities in different habitats.
4981,Flower availability 2008 Alb-korrigiert,Flower availability is estimated by determining the number of 'flower units' across the grassland types of the Exploratories as a basis for analyzing flower-visitor interactions networks. We focus on resource-based mechanisms that may determine flower visiting insect communities in different habitats.
5000,Plotchart generation example script,"The code shows how to render a plotcart with R.
Plotcharts are the central source for the management of the plots. They depict the research locations of any sub-project on all experimental plots, comprising the VIPs. There are templates by landusetype and EP/VIP. These are then individually enhanced online by researchers who adjust their sub-plot locations in order to reflect reality. Please note that only a restricted number of LMT members are allowed to edit plotchart online. R is used as the rendering machine. BExIS employs a service with RServe as a backbone; but the underlying code is based on the supplied R-codes."
5021,Core model for stage-structured matrix population models of grassland plants,"A series of matrix population models with increasing realism and model complexity is built in order to investigate the impact of functional traits on plant demography in fragmented landscapes: 1) non-spatial and deterministic models, 2) non-spatial and stochastic models, 3) spatially-explicit and deterministic models, 4) spatially-explicit and stochastic models, 5) spatially-explicit and stochastic community models. All these models are built using this core model as basis. The core model includes:a)Classes for annual, biennial and perennial species and a function which creates a species pool of given functional diversityb)Classes for landscapes and landscape-creating functions.c)Classes for transition matrizes and building blocks and functions providing the set-up."
5060,"Deterministic model for local, stage-structured populations of grassland plants",Non-spatial model for perennial grassland plants in constant environments.
5063,"Stochastic model for local, stage-structured populations of grassland plants","In order to cope with environmental stochasticity plants developed different bet-hedging strategies. As land-use impacts on local environmental stochasticity, preadaptation of species can be used to predict species´ vulnerability to increasing land-use intensity."
5081,"Cell numbers of acidobacteria and procaryotes in soil by fluorescent staining and counting (all VIPs, 2009)",cell numbers by fluorescent staining and counting
5120,"Grassland land use identification on all Grid Plots, 2006 - 2008",all data have been collected in a survey with the land owners of grassland gridplots and experimental plots in all three exploratories
5160,Indilap soil analysis,in this work the influence of different landuse intensities on the microbial nitrogen turnover processes in grassland was investigated
5201,Soil survey plot CO2 efflux,These are soil respiration and lab basal respiration measurements carried out as part of a coordinated soil sampling campaign at 27 grassland and 30 forest plots (all VIP plots) in all 3 biodiversity exploratories. Soil respiration and related data is given here.
5222,Soil survey point CO2 efflux,These are soil respiration measurements carried out as part of a coordinated soil sampling campaign at 27 grassland and 30 forest plots (all VIP plots) in all 3 biodiversity exploratories. Soil respiration and related data is given here.
5241,"Soil Phosphorus Fractions of 244 EPs, 2008 - 2009",Concentrations (mg/kg) of NaHCO3-Pi and Po (labile/plant available P); NaOH-Pi and Po (moderately labile P); HCl-P (stable P); H2SO4-P (stable P) and Total-P for topsoil
5280,"Characteristics of Small Insert Libraries constructed from DNA of Topsoil and Subsoil Samples, Alb and Schorfheide Grassland VIPs 2008",In this data file details about  small insert libraries are stored
5281,"Characteristics of Large Insert Libraries constructed from DNA of Topsoil and Subsoil Samples, Alb and Schorfheide Grassland VIPs 2008",In this data file details about  large insert libraries are stored
5303,"Characteristics of Small Insert Libraries constructed from DNA of Topsoil and Subsoil Samples, Hainich Grassland VIPs 2008",Overview about the small insert libraries
5304,"Characteristics of Large Insert Libraries constructed from DNA of Topsoil and Subsoil Samples, Hainich Grassland VIPs 2008",Overview about the Hainich large insert libraries
5340,Soil: Inventory organic soils grid plots,Here we describe the sampling of soil with a carbon concentration >15% which were classified as Histosols and which are highly influenced by groundwater. Many of those soils are meliorated nowadays
5400,"Vegetation Records for Grassland EPs in 2008, Header Data without Species Identities","Sammelarten"" sind durch agg= Aggregate oder total gekennzeichnet. Sie umfassen jene Taxa, die teilweise bis zur Kleinart, Subspecies oder Varietas bestimmt wurden, teilweise aber auch nur auf Gattungs- (... spec. (indet.)) oder Artebene. Taxonomie nach Wisskirchen,Haeupler (1998)Standardliste für Deutschland. Lebensformen nach Raunkiaer, C. (1910): Statistik der Lebensformen als Grundlage für die biologische Pflanzengeographie.-Beih. Biol. Cbl. 27 II, 170 - 206d. Rote Liste: KORNECK, D., SCHNITTLER, M., VOLLMER, I. (1996): Rote Liste der Farn- und Blütenpflanzen (Pteridophyta et Spermatophyta) Deutschlands. – LUDWIG, G., SCHNITTLER, M. [Hrsg.]: Rote Listen gefährdeter Pflanzen Deutschlands. – Schriftenr. Vegetationskd. 28: 21–187, Bundesamt für Naturschutz, Bonn."
5401,"Measurement of biomass  and C/N (2008, all grassland EPs)",biomass in g/m2 and volumes per cent of C and N
5421,Google earth overview of aerial photographs for SCH and ALB,"This dataset contains zip-files with downsampled aerial photographs combined with a KML file that can be opened in Google Earth.
Procedure was undertaken for SCH and ALB only."
5460,Convex hull for all three exploratories,"PDF and PNG Maps and KML files of the three exploratories. KML contain each the convex hull. The PDF and PNG contain the convex hulls against an outline of Germany and also feature the University cities managing the respective exploratory. In addition separate outlines of the 3 exploratories are available, also as shapes, contained in convexHull(Alb|Hainich|Schorfheide).zip.
Shapes are projected as DHDN5 @ Schorfheide, DHDN4 @ Hanich-Dün, and DHDN3 @ Schwäbische Alb"
5461,Distances between all EP plots calculated in 2009,"Metric distances between experimental plots of *all three* exploratories.
Distances were calculated in 2009 with the up to this year available plots and coordinates."
5480,Forest inventory - Oberdorla and Niederdorla - Points and coordinates,Waldinventur in den Waldgenossenschaften Oberdorla und Niederdorla im Sommer 2009Punkte lt. Raster und im Feld in verschiedenen Koordinatensystemen
5500,Forest inventory - Oberdorla and Niederdorla - Pointer features,Pointermerkmale der Probepunkte zur Waldinventur Oberdorla/Niederdorla zum Wiederfinden der Punkte im Gelände
5502,Forest inventory - Oberdorla and Niederdorla - Plot position,Waldinventur Oberdorla/Niederdorla: markante Geländemerkmale als Hilfe beimAuffinden der Probepunkte
5503,Forest inventory - Oberdorla and Niederdorla- Codes,Waldinventur in Oberdorla/Niederdorla 2009- Codierungen -
5520,Forest inventory - Oberdorla and Niederdorla - Header data,"Waldinventur in den Waldgenossenschaften Oberdorla und Niederdorla im Sommer 2009Kopfdaten, Nutzungsplanung und Verjüngung"
5522,Lichen diversity in grasslands (2007-2009),species list with abundance per plot
5540,Forest inventory - Oberdorla and Niederdorla - stand inventory,Waldinventur in den Waldgenossenschaften Oberdorla und Niederdorla im Sommer 2009- Bestandesinventur -
5541,Forest inventory - Oberdorla and Niederdorla - Fine and coarse woody debris (FWD and CWD),Waldinventur in den Waldgenossenschaften Oberdorla und Niederdorla im Sommer 2009- Totholz -
5542,Forest inventory - Oberdorla and Niederdorla - Tree stumps,Waldinventur in den Waldgenossenschaften Oberdorla und Niederdorla im Sommer 2009- Stubben -
5543,Forest inventory - Oberdorla and Niederdorla - Rejuvenation inventory,Waldinventur in den Waldgenossenschaften Oberdorla und Niederdorla im Sommer 2009 -Verjüngung -
5544,Forest inventory - Oberdorla and Niederdorla - Header for rejuvenation,Waldinventur in den Waldgenossenschaften Oberdorla und Niederdorla im Sommer 2009  - Kopfdaten der Verjüngung +
5545,Forest inventory - Oberdorla and Niederdorla - Tree species of rejuvenation,Waldinventur in den Waldgenossenschaften Oberdorla und Niederdorla im Sommer 2009- führende und sonstige Baumarten der Verjüngung im PK1 -
5560,Forest inventory - Oberdorla and Niederdorla - Parameter,Waldinventur in Oberdorla/Niederdorla 2009- Parameter der allometrischen Funktionen -
5600,"16S rRNA gene (V2-V3 region) based analysis of soil procaryotic community composition, Alb VIPs 2008","In this data file 16S rRNA gene based analysis of forest and grassland soil procaryotic community composition ""Schwaebische Alb"" is stored."
5620,"Indicator areas - 1st  inventory - Header data (SCH, HAI, ALB, 2008)","A) Inventory of tree species abundance, diversity, and structure of the regeneration stratum in forests of different silvicultural management types in all Exploratories.
B) Inventory of browsing damage by large herbivores.
C) Long-term monitoring of development of the regeneration stratum without impact of large herbivores (fenced plots)."
5622,"Indicator areas -1st  inventory - Data (ALB, 2008)","A)Inventory of  tree species abundance, diversity, and structure of the regeneration stratum in forests of different silvicultural management types in all exploratories.B)Inventory of browsing damage by large herbivores.C)Long-term monitoring of development of the regeneration stratum without impact of large herbivores (fenced plots)."
5641,Araneae on grasslands 2008,"The objectives of the project were to asses the influence of geographic position, land-use, management and local conditions on spiders."
5642,Carabidae on grasslands 2008,"The objectives of the project were to asses the influence of geographic position, land-use, management and local conditions on carabids"
5660,Stem distribution plans,Stammverteilungspläne der EPs
5680,Dendrometer - Status table,Statustabelle Dendrometer
5682,Dendrometer - Estimation of the radial changes of the Waldemar potentiometers,"Schätzung der Radialänderung der Bäume im Nationalpark Hainich (BH07 und BH08), an denen Potentiometer vom Typ Waldemar angebracht sind.Es handelt sich hier um die Bäume im Footprint des Hainich-Towers, vormals CarboEuropeProjekt.Die Schätzung des Zuwachs erfolgt durch Multiplikation des Korrekturfaktors (siehe Tabelle Dendrometer - Konfiguration...) mit dem Sensormeßwert."
5684,Dendrometer - Field book,Feldbuch für Umbauten und Modifikationen an den Dendrometern
5702,Soil: Nmin forest VIP plots,The Objective was to determine the plant available N in all forest VIP Plots at the time of the coordinated soil microbial sampling in April 2008.
5740,Pellet Decay (2007),NA
5741,Pellet Counting (2008-2009),Counting and determining all visible faecal pellet groups in a fixed transect in winter and early spring
5760,Pellet Decay (2008),NA
5762,"Ectomycorrhiza species on all forest VIP´s (Alb, 2008)",Vorkommende Ektomykorrhizen auf alles VIPs in der Alb
5763,"Ectomycorrhiza species on all forest VIP´s (Hainich, 2008)",Vorkommende Ektomykorrhizen auf den VIP_Hainich Wald
5764,All amino acids separate and replicas (all VIPs),freie Aminosäuren und lösliches Ammonium im Boden
5765,"Ectomycorrhiza species on all forest VIP´s (Schorfheide, 2008)",Vorkommende Ektomykorrhizen auf den VIP_Hainich Wald
5780,"Thistles species and abundance in relation to land use (2008, all grassland EPs)",Investigation of relationship between land use and abundance of thistle species
5781,"Thistles estimation of damage and counting of flower heads (2008, grassland EPs)",estimation of damage and counting of flower heads including their herbivory infection
5800,"Thistles and numbers of observed invertebrates, fungi and damage types (2008, grassland EPs)",Thistles belong to a prominent plant group in agricultural used grasslands. Many invertebrates feed on thistles or depend on thistle herbivores.
5801,GenLink - Collected plant samples on grassland EPs,List of grassland plant species which have been sampled on grassland EPs for the GenLink project
5804,"Galls on Beech Trees in Hainich, 2008","Hypersensitive reactions (HR) are regarded as one of the most important induced defense mechanisms and most effective bottom-up effects in multitrophic food-webs (Cornelissen and Fernandes, 2001; Fernandes, 1998; Fernandes and Negreiros, 2001). Plant genetics and physiological properties are generally considered to constitute the main factors influencing degree and frequency of HR against galling insects (Fernandes et al., 2003; Fernandes and Negreiros, 2001). Physiological plant properties are probably influenced by abiotic site conditions (soil, climate) (Fernandes et al., 2003), but also by other abiotic and biotic habitat characteristics as canopy openings or occurrence of other tree species, which depend on forest management intensity (Collet et al., 2001; Dittmar et al., 2003; Lof et al., 2005; Marusak and Barna, 2002). 
The frequency, diversity and community structure of herbivores and parasitoids is expected to differ in dependence of several habitat characteristics induced by forest management as well (Gossner et al., 2006) and may influence the frequency and efficiency of HR of the host plant, bur are otherwise dependent from the host plant quality (Fonseca et al., 2006).  
To reveal possible effects of forest use intensity on three-trophic-level interactions, the frequency and density of the most abundant galling insects on Fagus sylvatica (Mikiola fagi and Hartigiola annulipes, Cecidomyiidae) will be recorded on approximately 60 selected trees on plots characterized by clearly different forest management intensities in the exploratory Hainich/Dün. Recording of hypersensitive reactions to gall induction (Fernandes et al., 2003) and predators and parasitoids of M. fagi and H. annulipes (Dziurznski, 1961) will enable the analysis of the interplay of bottom-up  and top-down effects in this system in dependence from the forest use intensity. The relation of hypersensitive reactions (bottom-up effect) to living gall-inducers leads to an estimation of the relevance of forest use management for the susceptibility of European beech to galling insects. These investigations lead to an estimation of the possible indicative value of easily recordable plant structures as galls and HP sites for beech susceptibility or restistance."
5840,Small Mammal Trapping (2009),"Trapping small mammals with live traps in all three Exploratories and all EPs, but not grasland plots with cattle"
5861,"Soil pH value for VIP Plots, 2008",pH is the measure of the acidity or alkalinity of a soil solution
5900,forest inventory - ALB2010 - Raster 100 x100m,Punktraster der Schwäbischen Alb.100 x 100 m Quadrat
5901,forest inventory - ALB2010 - Vermarkung,"Waldinventur2010 in der Schwäbischen Alb, Status der Vermarkung"
5920,Regeneration inventory - Angle-count method,Winkelzählprobe (WZP) an allen Verjüngungsplots aller Wald-EPs auf der Schwäbischen AlbZählfaktor bei der WZP war immer 1
5921,Horizontumbenennung,"alte Horizontbezeichnungen auf den Aufnahmebögen sind nach internationaler Klassifikation (FAO, 2006) umbenannt worden z.Bsp aus ABhw ist ein ABwh geworden, Btgr jetzt Btrg"
