keyword,definition,merged
BIDIRECTIONAL REFLECTANCE DISTRIBUTION FUNCTION,"The bidirectional reflectance distribution function (BRDF) is a function of four variables and defines how light is reflected at an opaque surface, such as snow or ice.","Label: BIDIRECTIONAL REFLECTANCE DISTRIBUTION FUNCTION
Definition: The bidirectional reflectance distribution function (BRDF) is a function of four variables and defines how light is reflected at an opaque surface, such as snow or ice."
PRESSURE ANOMALIES,The deviation of atmospheric pressure in a given region over a specifiedperiod from the long-term average value for the same region.,"Label: PRESSURE ANOMALIES
Definition: The deviation of atmospheric pressure in a given region over a specifiedperiod from the long-term average value for the same region."
ATMOSPHERIC PRESSURE,The pressure exerted by the atmosphere as a consequence of gravitationalattraction exerted upon the 'column' of air lying directly above the pointin question.,"Label: ATMOSPHERIC PRESSURE
Definition: The pressure exerted by the atmosphere as a consequence of gravitationalattraction exerted upon the 'column' of air lying directly above the pointin question."
MUTUALISM,Mutualism is an interaction between two species in which both benefit fromthe association and cannot live separately.,"Label: MUTUALISM
Definition: Mutualism is an interaction between two species in which both benefit fromthe association and cannot live separately."
SPECIES/POPULATION INTERACTIONS,"Describes the dynamics of species or populations, and how these populationsinteract with the environment by fitting evolutionary strategies.","Label: SPECIES/POPULATION INTERACTIONS
Definition: Describes the dynamics of species or populations, and how these populationsinteract with the environment by fitting evolutionary strategies."
ECOLOGICAL DYNAMICS,Describes coupled dynamics of human-ecological systems,"Label: ECOLOGICAL DYNAMICS
Definition: Describes coupled dynamics of human-ecological systems"
POLLINATOR SPECIES,"Species which transfer pollen from an anther (the male reproductive organ) 
to a stigma (the receptive part of the female reproductive organ), either 
of the same flower (self-pollinator) or of a different flower of the same 
species (cross-pollinator).","Label: POLLINATOR SPECIES
Definition: Species which transfer pollen from an anther (the male reproductive organ) 
to a stigma (the receptive part of the female reproductive organ), either 
of the same flower (self-pollinator) or of a different flower of the same 
species (cross-pollinator)."
PARASITISM,Parasitism is where two species live in an obligatory association in whichthe parasite depends metabolically on the host .,"Label: PARASITISM
Definition: Parasitism is where two species live in an obligatory association in whichthe parasite depends metabolically on the host ."
SPECIES COMPETITION,Competition is the interaction of two species where they both use thesame limited resource or harm one another while seeking a resource.,"Label: SPECIES COMPETITION
Definition: Competition is the interaction of two species where they both use thesame limited resource or harm one another while seeking a resource."
NATURAL SELECTION,"Selection, or natural selection, is a nonrandom reproduction of genotypesthat results in the survival of those best adapted to their environmentand elimination of those less well adapted.  Selection leads toevolutionary change.","Label: NATURAL SELECTION
Definition: Selection, or natural selection, is a nonrandom reproduction of genotypesthat results in the survival of those best adapted to their environmentand elimination of those less well adapted.  Selection leads toevolutionary change."
MORPHOLOGICAL ADAPTATION,"Many animals show unique morphological and behavioural adaptations to desert extremes, while others are able to avoid these by behavioural means. This chapter focuses on patterns of convergent evolution of traits to assess which features represent unique desert adaptations. There are several taxa for which suitable, phylogenetically-controlled analyses have been conducted. This means that the effects of phylogeny, which may be considerable, have been removed. Removing the effects of phylogeny allow one to test whether an adaptation has occurred. For example, a character may be considered a desert adaptation because many desert-dwelling species possess the character, and non-desert-dwelling species do not. However, if there are many desert-dwelling species in a particular part of a clade, then this character may have evolved by chance alone. Select examples from tenebrionid beetles, lizards, birds, and mammals are considered.","Label: MORPHOLOGICAL ADAPTATION
Definition: Many animals show unique morphological and behavioural adaptations to desert extremes, while others are able to avoid these by behavioural means. This chapter focuses on patterns of convergent evolution of traits to assess which features represent unique desert adaptations. There are several taxa for which suitable, phylogenetically-controlled analyses have been conducted. This means that the effects of phylogeny, which may be considerable, have been removed. Removing the effects of phylogeny allow one to test whether an adaptation has occurred. For example, a character may be considered a desert adaptation because many desert-dwelling species possess the character, and non-desert-dwelling species do not. However, if there are many desert-dwelling species in a particular part of a clade, then this character may have evolved by chance alone. Select examples from tenebrionid beetles, lizards, birds, and mammals are considered."
RANGE CHANGES,"Range Changes with respect to Migration include forays outside the home range, usually in search of suitable habitat or mating opportunities.","Label: RANGE CHANGES
Definition: Range Changes with respect to Migration include forays outside the home range, usually in search of suitable habitat or mating opportunities."
USE/FEEDING HABITATS,Feeding habitat refers to the many aspects of how living organisms obtaintheir food.,"Label: USE/FEEDING HABITATS
Definition: Feeding habitat refers to the many aspects of how living organisms obtaintheir food."
BIOLUMINESCENCE,"Bioluminescence is a flashing of light that emanates from an organismwhen excited electrons of ATP phosphorylates, luciferins (highlyfluorescent substances), return to a lower energy level. An example ofbioluminescence are fireflies which give off these flashes of light as theluciferases convert chemical energy to light energy.","Label: BIOLUMINESCENCE
Definition: Bioluminescence is a flashing of light that emanates from an organismwhen excited electrons of ATP phosphorylates, luciferins (highlyfluorescent substances), return to a lower energy level. An example ofbioluminescence are fireflies which give off these flashes of light as theluciferases convert chemical energy to light energy."
MUTATION RATES,"Mutation is a spontaneous change in the genotype of an organism at thegenetic, chromosomal, or genomic level. The term mutation often refers toalterations to new allelic forms, and represents new material forevolutionary change.","Label: MUTATION RATES
Definition: Mutation is a spontaneous change in the genotype of an organism at thegenetic, chromosomal, or genomic level. The term mutation often refers toalterations to new allelic forms, and represents new material forevolutionary change."
SPECTRAL/ENGINEERING,"Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.","Label: SPECTRAL/ENGINEERING
Definition: Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes."
SENSOR COUNTS,The raw digital values recorded by the sensor.,"Label: SENSOR COUNTS
Definition: The raw digital values recorded by the sensor."
SUB-ATOMIC PARTICLE FLUX,"These particles include atomic constituents such as electrons, protons, and
neutrons (protons and neutrons are actually composite particles, made up of
quarks), as well as other particles such as photons and neutrinos which are
produced copiously in the sun. However, most of the particles that have been
discovered and studied are not encountered under normal earth conditions; they
are produced in cosmic rays and during scattering processes in particle
accelerators.","Label: SUB-ATOMIC PARTICLE FLUX
Definition: These particles include atomic constituents such as electrons, protons, and
neutrons (protons and neutrons are actually composite particles, made up of
quarks), as well as other particles such as photons and neutrinos which are
produced copiously in the sun. However, most of the particles that have been
discovered and studied are not encountered under normal earth conditions; they
are produced in cosmic rays and during scattering processes in particle
accelerators."
EAST CENTRAL TROPICAL PACIFIC SST,"The NINO3.4 index is one of several El Niño/Southern Oscillation (ENSO) indicators based on sea surface temperatures.NINO3.4 is the average sea surface temperature anomaly in the region bounded by 5°N to 5°S, from 170°W to 120°W. This region has large variability on El Niño time scales, and is close to the region where changes in local sea-surface temperature are important for shifting the large region of rainfall typically located in the far western Pacific.An El Niño or La Niña event is identified if the 5-month running-average of the NINO3.4 index exceeds +0.4°C for El Niño or -0.4°C for La Niña for at least 6 consecutive months.","Label: EAST CENTRAL TROPICAL PACIFIC SST
Definition: The NINO3.4 index is one of several El Niño/Southern Oscillation (ENSO) indicators based on sea surface temperatures.NINO3.4 is the average sea surface temperature anomaly in the region bounded by 5°N to 5°S, from 170°W to 120°W. This region has large variability on El Niño time scales, and is close to the region where changes in local sea-surface temperature are important for shifting the large region of rainfall typically located in the far western Pacific.An El Niño or La Niña event is identified if the 5-month running-average of the NINO3.4 index exceeds +0.4°C for El Niño or -0.4°C for La Niña for at least 6 consecutive months."
PARTICLE SIZE DISTRIBUTION,"The frequency distribution of drop sizes (diameters, volumes) that is characteristic of a given cloud or of a given fall of rain.Most natural clouds have unimodal (single maximum) distributions, but occasionally bimodal distributions are observed. In convective clouds, the drop-size distribution is found to change with time and to vary systematically with height, the modal size increasing and the number decreasing with height. For many purposes a useful single parameter representing a given distribution is the volume median diameter, that is, that diameter for which the total volume of all drops having greater diameters is just equal to the total volume of all drops having smaller diameters. The drop- size distribution is one of the primary factors involved in determining the radar reflectivity of any fall of precipitation, or of a cloud mass.","Label: PARTICLE SIZE DISTRIBUTION
Definition: The frequency distribution of drop sizes (diameters, volumes) that is characteristic of a given cloud or of a given fall of rain.Most natural clouds have unimodal (single maximum) distributions, but occasionally bimodal distributions are observed. In convective clouds, the drop-size distribution is found to change with time and to vary systematically with height, the modal size increasing and the number decreasing with height. For many purposes a useful single parameter representing a given distribution is the volume median diameter, that is, that diameter for which the total volume of all drops having greater diameters is just equal to the total volume of all drops having smaller diameters. The drop- size distribution is one of the primary factors involved in determining the radar reflectivity of any fall of precipitation, or of a cloud mass."
CLOUD MICROPHYSICS,"Cloud processes (growth, evaporation, etc.) taking place on the scale of the individual aerosol or precipitation particle as opposed to the scale of the visual cloud.","Label: CLOUD MICROPHYSICS
Definition: Cloud processes (growth, evaporation, etc.) taking place on the scale of the individual aerosol or precipitation particle as opposed to the scale of the visual cloud."
CONVECTIVE AVAILABLE POTENTIAL ENERGY (CAPE),Convective Available Potential Energy = in units of Joules per kilogram (J/kg) is a measure of the cumulative buoyancy of a parcel as it rises.,"Label: CONVECTIVE AVAILABLE POTENTIAL ENERGY (CAPE)
Definition: Convective Available Potential Energy = in units of Joules per kilogram (J/kg) is a measure of the cumulative buoyancy of a parcel as it rises."
ALTOCUMULUS,"A principal cloud type, forming in the middle levels of the troposphere, and appearing as a white and/or grey layer or patch with a waved aspect. In aviation forecasts and reports it is coded as AC.","Label: ALTOCUMULUS
Definition: A principal cloud type, forming in the middle levels of the troposphere, and appearing as a white and/or grey layer or patch with a waved aspect. In aviation forecasts and reports it is coded as AC."
ALTOCUMULUS CASTELLANUS,"(Previously called castellatus.) A cloud species of which at least a fraction of its upper part presents some vertically developed cumuliform protuberances (some of which are taller than they are wide) that give the cloud a crenellated or turreted appearance.This castellanus character is especially evident when the cloud is seen from the side. The cumuliform cloud elements generally have a common base and usually seem to be arranged in lines. The species is found only in the genera cirrus, cirrocumulus, altocumulus, and stratocumulus. Cirrus castellanus differs from cirrocumulus castellanus in that its vertical protuberances subtend an angle of more than 1° when observed at an angle of more than 30° above the horizon. When altocumulus castellanus and stratocumulus castellanus attain a considerable vertical development, they become cumulus congestus and often develop into cumulonimbus. Stratocumulus castellanus should not be confused with stratocumulus pierced by cumulus.","Label: ALTOCUMULUS CASTELLANUS
Definition: (Previously called castellatus.) A cloud species of which at least a fraction of its upper part presents some vertically developed cumuliform protuberances (some of which are taller than they are wide) that give the cloud a crenellated or turreted appearance.This castellanus character is especially evident when the cloud is seen from the side. The cumuliform cloud elements generally have a common base and usually seem to be arranged in lines. The species is found only in the genera cirrus, cirrocumulus, altocumulus, and stratocumulus. Cirrus castellanus differs from cirrocumulus castellanus in that its vertical protuberances subtend an angle of more than 1° when observed at an angle of more than 30° above the horizon. When altocumulus castellanus and stratocumulus castellanus attain a considerable vertical development, they become cumulus congestus and often develop into cumulonimbus. Stratocumulus castellanus should not be confused with stratocumulus pierced by cumulus."
ALTOCUMULUS UNDULATUS,"(Also called billow cloud, windrow cloud, wave cloud.) A cloud variety composed of merged or separate elements that are elongated and parallel, either suggestive of ocean waves or arranged in ranks and files.Sometimes two distinct wave systems are apparent (biundulatus). The formation is by gravity waves that exhibit broad, nearly parallel lines of cloud oriented normal to the wind direction, with cloud bases near an inversion surface.","Label: ALTOCUMULUS UNDULATUS
Definition: (Also called billow cloud, windrow cloud, wave cloud.) A cloud variety composed of merged or separate elements that are elongated and parallel, either suggestive of ocean waves or arranged in ranks and files.Sometimes two distinct wave systems are apparent (biundulatus). The formation is by gravity waves that exhibit broad, nearly parallel lines of cloud oriented normal to the wind direction, with cloud bases near an inversion surface."
OPTICAL DEPTH,"The degree to which the ocean absorbs light, assuming verticalseparation between light source and light receiver.","Label: OPTICAL DEPTH
Definition: The degree to which the ocean absorbs light, assuming verticalseparation between light source and light receiver."
OCEAN OPTICS,Scientific field of study of light in the oceans. Variables includemeasurable characteristics of underwater light.,"Label: OCEAN OPTICS
Definition: Scientific field of study of light in the oceans. Variables includemeasurable characteristics of underwater light."
FOODBORNE DISEASES,"Illness or disease caused by consumption of foods or drinkscontaminated with biological or chemical toxins or pathogens, includingdisease-causing microbes or toxic chemicals.","Label: FOODBORNE DISEASES
Definition: Illness or disease caused by consumption of foods or drinkscontaminated with biological or chemical toxins or pathogens, includingdisease-causing microbes or toxic chemicals."
DISEASES/EPIDEMICS,"Diseases are used here to relate to human diseases which may be linked to poor environmental quality, such as poor air quality, or may ensue due to change in climate.","Label: DISEASES/EPIDEMICS
Definition: Diseases are used here to relate to human diseases which may be linked to poor environmental quality, such as poor air quality, or may ensue due to change in climate."
ANGLE OF INCLINATION,Refers to the angle between the equatorial plane of the earth and the orbital plane of the satellite,"Label: ANGLE OF INCLINATION
Definition: Refers to the angle between the equatorial plane of the earth and the orbital plane of the satellite"
SATELLITE ORBITS/REVOLUTION,"Pertaining to the determination of variations in orbital paths of man-made satellites, and to the calculation of the orbits of future satellites.","Label: SATELLITE ORBITS/REVOLUTION
Definition: Pertaining to the determination of variations in orbital paths of man-made satellites, and to the calculation of the orbits of future satellites."
