id,anchor1_id,anchor1_label,anchor1_score
5760,DEGRADATION,DEGRADATION,0.48798
5762,LIZARDS/SNAKES,LIZARDS/SNAKES,0.472222
5763,RIPARIAN WETLANDS,RIPARIAN WETLANDS,0.462337
5764,AMMONIA,AMMONIA,0.542599
5765,RIPARIAN WETLANDS,RIPARIAN WETLANDS,0.455769
5780,LAND USE CLASSES,LAND USE CLASSES,0.610034
5781,PLANT DISEASES/DISORDERS/PESTS,PLANT DISEASES/DISORDERS/PESTS,0.59946
5800,INSECTS,INSECTS,0.670858
5801,,,0.0
5804,,,0.0
5840,REPTILES,REPTILES,0.541435
5861,PH,PH,0.825061
5900,,,0.0
5901,,,0.0
5920,RESAMPLING,RESAMPLING,0.471152
5921,SEA ICE TOPOGRAPHY,SEA ICE TOPOGRAPHY,0.519203
5922,SOIL HORIZONS/PROFILE,SOIL HORIZONS/PROFILE,0.598925
5940,DATA ANALYSIS AND VISUALIZATION,DATA ANALYSIS AND VISUALIZATION,0.55266
5960,,,0.0
6000,,,0.0
6001,,,0.0
6040,,,0.0
6060,,,0.0
6080,BIBLIOGRAPHIC DATABASES,BIBLIOGRAPHIC DATABASES,0.49281
6082,,,0.0
6123,FLAGELLATES,FLAGELLATES,0.572346
6124,FLAGELLATES,FLAGELLATES,0.576889
6160,,,0.0
6222,SURFACE SOIL MOISTURE,SURFACE SOIL MOISTURE,0.603299
6223,LAND/OCEAN/ICE MASK,LAND/OCEAN/ICE MASK,0.588604
6224,SOIL CLASSIFICATION,SOIL CLASSIFICATION,0.706893
6225,SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,0.537362
6226,SOIL PH,SOIL PH,0.64561
6227,SOIL CLASSIFICATION,SOIL CLASSIFICATION,0.548165
6240,VEGETATION COVER,VEGETATION COVER,0.573464
6241,SOIL CLASSIFICATION,SOIL CLASSIFICATION,0.60174
6280,LAND SURFACE MODELS,LAND SURFACE MODELS,0.532301
6300,,,0.0
6302,,,0.0
6303,,,0.0
6304,,,0.0
6305,,,0.0
6306,,,0.0
6320,VEGETATION HEIGHT,VEGETATION HEIGHT,0.613207
6340,,,0.0
6360,,,0.0
6362,SOIL SALINITY/SOIL SODICITY,SOIL SALINITY/SOIL SODICITY,0.652192
6363,SOIL ROOTING DEPTH,SOIL ROOTING DEPTH,0.577883
6380,SOIL ROOTING DEPTH,SOIL ROOTING DEPTH,0.655696
6381,,,0.0
6400,,,0.0
6440,,,0.0
6460,SOIL INFILTRATION,SOIL INFILTRATION,0.577608
6461,COMPOSITION/TEXTURE,COMPOSITION/TEXTURE,0.567475
6482,,,0.0
6500,,,0.0
6540,PLANT CHARACTERISTICS,PLANT CHARACTERISTICS,0.657795
6541,PLANT CHARACTERISTICS,PLANT CHARACTERISTICS,0.653731
6542,,,0.0
6543,,,0.0
6560,,,0.0
6601,,,0.0
6640,,,0.0
6660,PH,PH,0.623705
6661,COMPOSITION/TEXTURE,COMPOSITION/TEXTURE,0.631658
6662,SULFUR DIOXIDE PROFILES,SULFUR DIOXIDE PROFILES,0.539816
6664,CLOUD-SCREENED TOTAL COLUMN NITROGEN DIOXIDE (NO2),CLOUD-SCREENED TOTAL COLUMN NITROGEN DIOXIDE (NO2),0.645924
10008,PHOSPHORUS,PHOSPHORUS,0.600942
10021,SHORELINE MAPPING,SHORELINE MAPPING,0.536457
10022,DIGITAL ELEVATION/TERRAIN MODEL (DEM),DIGITAL ELEVATION/TERRAIN MODEL (DEM),0.5829
10023,NIGHTTIME LIGHTS,NIGHTTIME LIGHTS,0.486798
10042,24 HOUR PRECIPITATION AMOUNT,24 HOUR PRECIPITATION AMOUNT,0.556709
10120,RANGE CHANGES,RANGE CHANGES,0.62026
10160,POLLINATOR SPECIES,POLLINATOR SPECIES,0.545417
10202,,,0.0
10204,,,0.0
10220,ANGIOSPERMS (FLOWERING PLANTS),ANGIOSPERMS (FLOWERING PLANTS),0.549157
10280,MAGNETIC ANOMALIES,MAGNETIC ANOMALIES,0.503279
10282,SOIL HORIZONS/PROFILE,SOIL HORIZONS/PROFILE,0.497136
10300,REPTILES,REPTILES,0.536232
10301,REPTILES,REPTILES,0.54308
10320,,,0.0
10321,STATION HEIGHT,STATION HEIGHT,0.484165
10322,BIODIVERSITY FUNCTIONS,BIODIVERSITY FUNCTIONS,0.672029
10341,,,0.0
10403,SOIL SALINITY/SOIL SODICITY,SOIL SALINITY/SOIL SODICITY,0.643682
10440,GROUNDING LINE,GROUNDING LINE,0.489284
10441,FOREST SCIENCE,FOREST SCIENCE,0.609952
10461,VECTOR SOURCE,VECTOR SOURCE,0.619863
10462,LAND/OCEAN/ICE MASK,LAND/OCEAN/ICE MASK,0.491729
10464,,,0.0
10480,SPECIES DISTRIBUTION MODELS,SPECIES DISTRIBUTION MODELS,0.641689
10500,PLANT DISEASES/DISORDERS/PESTS,PLANT DISEASES/DISORDERS/PESTS,0.593756
10540,,,0.0
10560,,,0.0
10561,GAS HYDRATES VERTICAL/GEOGRAPHIC DISTRIBUTION,GAS HYDRATES VERTICAL/GEOGRAPHIC DISTRIBUTION,0.491868
10563,TRANSCRIPTOMIC ANALYSIS,TRANSCRIPTOMIC ANALYSIS,0.575934
10564,,,0.0
10570,,,0.0
10571,SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,0.541695
10574,LAND USE/LAND COVER CHANGE,LAND USE/LAND COVER CHANGE,0.584417
10575,DEPOSITION,DEPOSITION,0.506979
10576,VISIBLE IMAGERY,VISIBLE IMAGERY,0.497431
10600,,,0.0
10602,RNA SEQUENCING,RNA SEQUENCING,0.530266
10622,SOIL PRODUCTIVITY,SOIL PRODUCTIVITY,0.572205
10641,BIODIVERSITY FUNCTIONS,BIODIVERSITY FUNCTIONS,0.655409
10661,,,0.0
10662,QUANTITATIVE POLYMERASE CHAIN REACTION (qPCR),QUANTITATIVE POLYMERASE CHAIN REACTION (qPCR),0.563887
10663,SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,0.560343
10680,FERTILIZERS,FERTILIZERS,0.550771
10701,,,0.0
10702,CROP DENSITY,CROP DENSITY,0.481604
10703,,,0.0
10704,,,0.0
10720,HERBIVORY,HERBIVORY,0.507036
10721,HERBIVORY,HERBIVORY,0.502919
10741,CONTOUR MAPS,CONTOUR MAPS,0.530197
10760,,,0.0
10821,FERTILIZERS,FERTILIZERS,0.547515
10840,,,0.0
10860,,,0.0
10901,SOIL SALINITY/SOIL SODICITY,SOIL SALINITY/SOIL SODICITY,0.618788
10940,FERTILIZERS,FERTILIZERS,0.567067
10960,LAKE LEVELS,LAKE LEVELS,0.558182
11040,RANGELAND,RANGELAND,0.538876
11041,RANGELAND,RANGELAND,0.505056
11043,GREEN ALGAE,GREEN ALGAE,0.499036
11060,FOREST MENSURATION,FOREST MENSURATION,0.616763
11101,,,0.0
11163,,,0.0
11221,,,0.0
11300,DIGITAL ELEVATION/TERRAIN MODEL (DEM),DIGITAL ELEVATION/TERRAIN MODEL (DEM),0.617679
11320,,,0.0
11323,,,0.0
11360,FERTILIZERS,FERTILIZERS,0.538336
11361,ANGIOSPERMS (FLOWERING PLANTS),ANGIOSPERMS (FLOWERING PLANTS),0.534406
11440,,,0.0
11480,SUBSCRIPTION SERVICES,SUBSCRIPTION SERVICES,0.523557
11500,BIBLIOGRAPHIC DATABASES,BIBLIOGRAPHIC DATABASES,0.477751
11501,,,0.0
11502,,,0.0
11503,DESERT SCRUB,DESERT SCRUB,0.549158
11504,,,0.0
11506,,,0.0
11507,,,0.0
11520,GAZETTEER SERVICE,GAZETTEER SERVICE,0.50024
11521,FOREST YIELDS,FOREST YIELDS,0.601747
11540,GAZETTEER SERVICE,GAZETTEER SERVICE,0.544794
11541,CONTOUR MAPS,CONTOUR MAPS,0.561336
11560,,,0.0
11603,DIGITAL ELEVATION/TERRAIN MODEL (DEM),DIGITAL ELEVATION/TERRAIN MODEL (DEM),0.662449
11660,MICROBIAL SOURCE TRACKING,MICROBIAL SOURCE TRACKING,0.466414
11681,,,0.0
11700,,,0.0
11740,,,0.0
11760,,,0.0
11761,MICROBIAL SOURCE TRACKING,MICROBIAL SOURCE TRACKING,0.469486
11780,SILVICULTURE,SILVICULTURE,0.625084
11920,AGRICULTURAL LANDS,AGRICULTURAL LANDS,0.618495
11921,COUNTRY BOUNDARIES,COUNTRY BOUNDARIES,0.512303
11941,SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,0.566029
12000,SOIL POROSITY,SOIL POROSITY,0.588886
12020,MARSH,MARSH,0.507163
12061,,,0.0
12083,SHORELINE MAPPING,SHORELINE MAPPING,0.551357
12123,,,0.0
12140,,,0.0
12161,,,0.0
12200,BIOSPHERIC INDICATORS,BIOSPHERIC INDICATORS,0.544936
12203,FOREST PLANTATION,FOREST PLANTATION,0.508907
12204,HYDROLOGICAL HAZARDS MAPPING,HYDROLOGICAL HAZARDS MAPPING,0.467085
12205,WEB-BASED GEOGRAPHIC INFORMATION SYSTEMS,WEB-BASED GEOGRAPHIC INFORMATION SYSTEMS,0.534912
12220,WATER IMPOUNDMENT,WATER IMPOUNDMENT,0.55187
12221,USE/FEEDING HABITATS,USE/FEEDING HABITATS,0.480293
12222,ENFORCEMENT,ENFORCEMENT,0.484726
12223,WATER RESOURCES,WATER RESOURCES,0.513733
12224,LANDSCAPE MANAGEMENT,LANDSCAPE MANAGEMENT,0.54261
12225,SEA URCHINS,SEA URCHINS,0.487131
12226,FLAGELLATES,FLAGELLATES,0.639009
12266,,,0.0
12286,MINING/DRILLING SITE,MINING/DRILLING SITE,0.498197
12287,MINING/DRILLING SITE,MINING/DRILLING SITE,0.499488
12326,BREEDING PRODUCTIVITY,BREEDING PRODUCTIVITY,0.555584
12366,,,0.0
12427,PLANT CHARACTERISTICS,PLANT CHARACTERISTICS,0.654886
12428,,,0.0
12466,FLAGELLATES,FLAGELLATES,0.559018
12526,,,0.0
12566,FLAGELLATES,FLAGELLATES,0.585147
12608,SHORELINE MAPPING,SHORELINE MAPPING,0.565601
12609,SHORELINE MAPPING,SHORELINE MAPPING,0.482636
12626,,,0.0
12627,HERBIVORY,HERBIVORY,0.715189
12666,,,0.0
12686,,,0.0
12706,FOREST MENSURATION,FOREST MENSURATION,0.611449
12766,APICULTURE,APICULTURE,0.581071
12806,,,0.0
12807,WATER MANAGEMENT,WATER MANAGEMENT,0.579831
12808,PLANT DISEASES/DISORDERS/PESTS,PLANT DISEASES/DISORDERS/PESTS,0.600855
12827,,,0.0
12830,LAND USE/LAND COVER CHANGE,LAND USE/LAND COVER CHANGE,0.598049
12866,FOREST PLANTATION,FOREST PLANTATION,0.54221
12867,FOREST PLANTATION,FOREST PLANTATION,0.546303
12886,BIOSPHERIC INDICATORS,BIOSPHERIC INDICATORS,0.553937
12906,,,0.0
12946,CYANOBACTERIA (BLUE-GREEN ALGAE),CYANOBACTERIA (BLUE-GREEN ALGAE),0.608519
12966,SOIL COLOR,SOIL COLOR,0.617188
12967,LAND USE/LAND COVER CHANGE,LAND USE/LAND COVER CHANGE,0.60349
13086,PIGMENTS,PIGMENTS,0.576051
13106,LAND USE/LAND COVER CHANGE,LAND USE/LAND COVER CHANGE,0.588788
13126,LAND USE/LAND COVER CHANGE,LAND USE/LAND COVER CHANGE,0.587283
13147,LAND USE CLASSES,LAND USE CLASSES,0.624223
13149,,,0.0
13166,BIOLOGICAL RECORDS,BIOLOGICAL RECORDS,0.492914
13226,CYANOBACTERIA (BLUE-GREEN ALGAE),CYANOBACTERIA (BLUE-GREEN ALGAE),0.588551
13347,ANIMAL BREEDING AND GENETICS,ANIMAL BREEDING AND GENETICS,0.596354
13349,ANIMAL BREEDING AND GENETICS,ANIMAL BREEDING AND GENETICS,0.592962
13350,ANIMAL BREEDING AND GENETICS,ANIMAL BREEDING AND GENETICS,0.599996
13367,,,0.0
13368,,,0.0
13370,,,0.0
13371,,,0.0
13372,,,0.0
13386,RNA,RNA,0.509934
13406,GAZETTEER APPLICATION SERVICES,GAZETTEER APPLICATION SERVICES,0.523151
13426,,,0.0
13447,LAND USE/LAND COVER CHANGE,LAND USE/LAND COVER CHANGE,0.593696
13486,GRASSLANDS,GRASSLANDS,0.610739
13506,,,0.0
13546,,,0.0
13566,,,0.0
13567,,,0.0
13568,ANIMAL BREEDING AND GENETICS,ANIMAL BREEDING AND GENETICS,0.502334
13606,,,0.0
13666,LOESS,LOESS,0.509598
13667,,,0.0
13668,,,0.0
13706,,,0.0
13726,,,0.0
13806,DIGITAL ELEVATION/TERRAIN MODEL (DEM),DIGITAL ELEVATION/TERRAIN MODEL (DEM),0.537571
13826,CHLOROPHYLL CONCENTRATION,CHLOROPHYLL CONCENTRATION,0.537211
13846,METAGENOME ASSEMBLED GENOMES (MAGs),METAGENOME ASSEMBLED GENOMES (MAGs),0.549818
13866,AE INDEX,AE INDEX,0.502968
13886,METAGENOME ASSEMBLED GENOMES (MAGs),METAGENOME ASSEMBLED GENOMES (MAGs),0.58073
13906,,,0.0
13907,,,0.0
13927,CENTIPEDES,CENTIPEDES,0.479266
13930,DECISION TREE,DECISION TREE,0.53308
13986,,,0.0
13987,FOREST HARVESTING AND ENGINEERING,FOREST HARVESTING AND ENGINEERING,0.571389
13989,DNA,DNA,0.518131
14012,,,0.0
14015,,,0.0
14016,GELBSTOFF,GELBSTOFF,0.538498
14018,,,0.0
14106,BIODIVERSITY FUNCTIONS,BIODIVERSITY FUNCTIONS,0.673665
14127,SPECIES DISTRIBUTION,SPECIES DISTRIBUTION,0.463097
14146,SEDIMENTARY STRUCTURES,SEDIMENTARY STRUCTURES,0.521176
14148,ANIMAL BREEDING AND GENETICS,ANIMAL BREEDING AND GENETICS,0.512341
14187,ANIMAL BREEDING AND GENETICS,ANIMAL BREEDING AND GENETICS,0.477624
14246,,,0.0
14306,,,0.0
14326,GRASSLANDS,GRASSLANDS,0.602522
14346,FOREST MENSURATION,FOREST MENSURATION,0.612365
14406,ANIMAL BREEDING AND GENETICS,ANIMAL BREEDING AND GENETICS,0.485298
14410,FORESTS,FORESTS,0.583528
14426,,,0.0
14446,,,0.0
14447,,,0.0
14448,SOIL MOISTURE,SOIL MOISTURE,0.618295
14506,DIGITAL ELEVATION/TERRAIN MODEL (DEM),DIGITAL ELEVATION/TERRAIN MODEL (DEM),0.537131
14526,PRESENT WEATHER,PRESENT WEATHER,0.635043
14567,CLOUD-SCREENED TOTAL COLUMN NITROGEN DIOXIDE (NO2),CLOUD-SCREENED TOTAL COLUMN NITROGEN DIOXIDE (NO2),0.585122
14586,MICROCLIMATE,MICROCLIMATE,0.633095
14606,CLIMATE INDICATORS,CLIMATE INDICATORS,0.623495
14646,,,0.0
14666,SURFACE SOIL MOISTURE,SURFACE SOIL MOISTURE,0.542784
14667,GAS HYDRATES VERTICAL/GEOGRAPHIC DISTRIBUTION,GAS HYDRATES VERTICAL/GEOGRAPHIC DISTRIBUTION,0.517977
14668,GAS HYDRATES VERTICAL/GEOGRAPHIC DISTRIBUTION,GAS HYDRATES VERTICAL/GEOGRAPHIC DISTRIBUTION,0.538116
14686,SOIL MOISTURE,SOIL MOISTURE,0.688667
14706,,,0.0
14726,,,0.0
14786,CANOPY TRANSMITTANCE,CANOPY TRANSMITTANCE,0.566409
14787,REFORESTATION/REVEGETATION,REFORESTATION/REVEGETATION,0.583298
14846,SOIL PRODUCTIVITY,SOIL PRODUCTIVITY,0.588703
14866,SURFACE SOIL MOISTURE,SURFACE SOIL MOISTURE,0.596424
14886,REFORESTATION/REVEGETATION,REFORESTATION/REVEGETATION,0.558123
14906,SHORELINE MAPPING,SHORELINE MAPPING,0.568319
14946,TOTAL ELECTRON CONTENT,TOTAL ELECTRON CONTENT,0.559531
14966,CANOPY TRANSMITTANCE,CANOPY TRANSMITTANCE,0.570974
14986,FOREST MENSURATION,FOREST MENSURATION,0.609596
15026,SOIL COLOR,SOIL COLOR,0.59431
15086,POLLINATOR SPECIES,POLLINATOR SPECIES,0.574482
15126,,,0.0
15146,FOREST PRODUCTS/COMMODITIES,FOREST PRODUCTS/COMMODITIES,0.591521
15166,SOLID EARTH,SOLID EARTH,0.618951
15206,LAND USE/LAND COVER CHANGE,LAND USE/LAND COVER CHANGE,0.5987
15226,SOIL MOISTURE,SOIL MOISTURE,0.59692
15246,FOREST PRODUCTS/COMMODITIES,FOREST PRODUCTS/COMMODITIES,0.569398
15306,,,0.0
15307,MICRONUTRIENTS/TRACE ELEMENTS,MICRONUTRIENTS/TRACE ELEMENTS,0.538745
15326,MICROBIAL SOURCE TRACKING,MICROBIAL SOURCE TRACKING,0.557894
15386,,,0.0
15426,TREE RINGS,TREE RINGS,0.456474
15467,SOIL SALINITY/SOIL SODICITY,SOIL SALINITY/SOIL SODICITY,0.68736
15486,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,0.581548
15506,SUB-BOTTOM PROFILE,SUB-BOTTOM PROFILE,0.478363
15507,SUB-BOTTOM PROFILE,SUB-BOTTOM PROFILE,0.463193
15508,SUB-BOTTOM PROFILE,SUB-BOTTOM PROFILE,0.462837
15509,,,0.0
15526,MICROBIAL SOURCE TRACKING,MICROBIAL SOURCE TRACKING,0.549038
15527,MICROBIAL SOURCE TRACKING,MICROBIAL SOURCE TRACKING,0.547032
15528,MICROBIAL SOURCE TRACKING,MICROBIAL SOURCE TRACKING,0.559344
15546,HERBIVORY,HERBIVORY,0.58311
15547,POLLINATOR SPECIES,POLLINATOR SPECIES,0.529859
15566,SOIL PRODUCTIVITY,SOIL PRODUCTIVITY,0.577126
15588,GRASSLANDS,GRASSLANDS,0.599363
15606,TEMPERATE CONIFEROUS FOREST,TEMPERATE CONIFEROUS FOREST,0.484863
15626,SIGMA NAUGHT,SIGMA NAUGHT,0.606574
15627,ELECTRICAL PROPERTIES,ELECTRICAL PROPERTIES,0.529185
15646,SPECIES DISTRIBUTION MODELS,SPECIES DISTRIBUTION MODELS,0.600661
15687,HERBIVORY,HERBIVORY,0.582174
15688,VEGETATION FRACTION,VEGETATION FRACTION,0.598388
15706,,,0.0
15707,,,0.0
15743,OXYGEN ISOTOPE ANALYSIS,OXYGEN ISOTOPE ANALYSIS,0.553705
15746,MODEL LOGS,MODEL LOGS,0.493854
15747,DENITRIFICATION RATE,DENITRIFICATION RATE,0.597921
15748,AMMONIA,AMMONIA,0.591227
15749,LAKE LEVELS,LAKE LEVELS,0.530339
15766,PHOSPHORUS,PHOSPHORUS,0.675725
15767,ANGIOSPERMS (FLOWERING PLANTS),ANGIOSPERMS (FLOWERING PLANTS),0.526502
15768,HERBIVORY,HERBIVORY,0.568585
15830,SPECIES COMPETITION,SPECIES COMPETITION,0.597283
15831,MICROFOSSIL,MICROFOSSIL,0.620861
15846,,,0.0
15866,RADIOCARBON,RADIOCARBON,0.621834
15869,FOREST SCIENCE,FOREST SCIENCE,0.52284
15871,FOREST SCIENCE,FOREST SCIENCE,0.57719
15886,SPECIES DISTRIBUTION MODELS,SPECIES DISTRIBUTION MODELS,0.618508
15887,WILDLAND FUELS,WILDLAND FUELS,0.502895
15906,LAND SURFACE MODELS,LAND SURFACE MODELS,0.600245
15907,,,0.0
15908,,,0.0
15929,,,0.0
15946,ORGANIC MATTER,ORGANIC MATTER,0.586031
15966,METAGENOMICS,METAGENOMICS,0.585431
15968,ORGANIC MATTER,ORGANIC MATTER,0.588941
15969,ORGANIC MATTER,ORGANIC MATTER,0.585358
15987,METAGENOMICS,METAGENOMICS,0.584186
16006,SPECIES DISTRIBUTION MODELS,SPECIES DISTRIBUTION MODELS,0.605267
16046,ORGANIC MATTER,ORGANIC MATTER,0.580431
16067,,,0.0
16068,,,0.0
16086,SPECIES COMPETITION,SPECIES COMPETITION,0.52541
16087,ORGANIC MATTER,ORGANIC MATTER,0.578241
16088,ORGANIC MATTER,ORGANIC MATTER,0.598563
16106,,,0.0
16126,SENSOR COUNTS,SENSOR COUNTS,0.558603
16146,WATER MANAGEMENT,WATER MANAGEMENT,0.560811
16166,ATMOSPHERE/SURFACE INTERACTIONS,ATMOSPHERE/SURFACE INTERACTIONS,0.569308
16167,ATMOSPHERE/SURFACE INTERACTIONS,ATMOSPHERE/SURFACE INTERACTIONS,0.564176
16186,LAND USE/LAND COVER CHANGE,LAND USE/LAND COVER CHANGE,0.573072
16187,,,0.0
16209,BIOMASS,BIOMASS,0.553131
16226,,,0.0
16227,SPECIES DISTRIBUTION MODELS,SPECIES DISTRIBUTION MODELS,0.605774
16268,LAND SURFACE MODELS,LAND SURFACE MODELS,0.570302
16286,TREE RINGS,TREE RINGS,0.684494
16326,SPECIES MIGRATION,SPECIES MIGRATION,0.593734
16327,VEGETATION COVER,VEGETATION COVER,0.604783
16386,CAVE DEPOSITS,CAVE DEPOSITS,0.478878
16388,TREE RINGS,TREE RINGS,0.492723
